Username,Artist,Track,Album,repeat_probability
Babs_05,Sophie,Whole New World/Pretend World,OIL OF EVERY PEARL'S UN-INSIDES,0.99173135
Babs_05,Sophie,Pretending,OIL OF EVERY PEARL'S UN-INSIDES,0.99173135
Babs_05,Sophie,Immaterial,OIL OF EVERY PEARL'S UN-INSIDES,0.99172467
Babs_05,Sophie,Infatuation,OIL OF EVERY PEARL'S UN-INSIDES,0.99166733
Babs_05,Sophie,It's Okay to Cry,OIL OF EVERY PEARL'S UN-INSIDES,0.99166733
eartle,Sophie,Immaterial,OIL OF EVERY PEARL'S UN-INSIDES,0.99670106
eartle,Sophie,Infatuation,OIL OF EVERY PEARL'S UN-INSIDES,0.9958905
eartle,Sophie,Not Okay,OIL OF EVERY PEARL'S UN-INSIDES,0.9957949
eartle,Sophie,Faceshopping,OIL OF EVERY PEARL'S UN-INSIDES,0.9957949
eartle,Sophie,Pretending,OIL OF EVERY PEARL'S UN-INSIDES,0.99565494
Orlenay,Madlib,One for Quartabê / Right Now,Sound Ancestors,0.96785694
Orlenay,Madlib,Hang Out (Phone Off),Sound Ancestors,0.96785694
Orlenay,Madlib,Loose Goose,Sound Ancestors,0.9659045
Orlenay,Madlib,Chino,Sound Ancestors,0.9657182
Orlenay,Madlib,Road of the Lonely Ones,Sound Ancestors,0.9643306
jonocole,Sophie,Immaterial,OIL OF EVERY PEARL'S UN-INSIDES,0.9955468
jonocole,Sophie,Is It Cold in the Water?,OIL OF EVERY PEARL'S UN-INSIDES,0.99434596
jonocole,Sophie,Not Okay,OIL OF EVERY PEARL'S UN-INSIDES,0.99423283
jonocole,Sophie,Faceshopping,OIL OF EVERY PEARL'S UN-INSIDES,0.9933153
jonocole,Sophie,Ponyboy,OIL OF EVERY PEARL'S UN-INSIDES,0.98594844
franhale,Sophie,Ponyboy,OIL OF EVERY PEARL'S UN-INSIDES,0.99391705
franhale,Sophie,Whole New World/Pretend World,OIL OF EVERY PEARL'S UN-INSIDES,0.9922409
franhale,Sophie,Immaterial,OIL OF EVERY PEARL'S UN-INSIDES,0.99217176
franhale,Sophie,Is It Cold in the Water?,OIL OF EVERY PEARL'S UN-INSIDES,0.9921028
franhale,Sophie,Pretending,OIL OF EVERY PEARL'S UN-INSIDES,0.9920745
